Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GLACIER/PFS,Multipurpose/Human Research,Refrigeration/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLACIER/Portable Pulmonary Function System,Multipurpose/Human Research,Refrigeration/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/GLACIER,Human Research/Multipurpose,Crew health/Refrigeration,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/GLACIER,Multipurpose/Multipurpose,General science/Refrigeration,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/Kubik,Biology and Biotechnology/Multipurpose,Biology/Incubator,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubik/MELFI,Multipurpose/Multipurpose,Incubator/Refrigeration,0,2,2,0,0,0,2,2,6,2,0,0,0,0,0,0
ALTEA/TEPC,Human Research/Human Research,Crew health/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/TEPC,Multipurpose/Human Research,General science/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERLIN/TEPC,Biology and Biotechnology/Human Research,Refrigeration/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCBA/TEPC,Human Research/Human Research,Crew health/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/TEPC,Multipurpose/Human Research,General science/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/TEPC,Physical Science/Human Research,Furnace/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR/TEPC,Physical Science/Human Research,Fluids/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/PCRF,Multipurpose/Biology and Biotechnology,Refrigeration/Biology,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/PCRF,Multipurpose/Biology and Biotechnology,Glovebox/Biology,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/PCRF,Biology and Biotechnology/Biology and Biotechnology,Biology/Biology,0,2,0,2,0,1,0,2,2,0,0,0,0,0,0,0
KFT/TEPC,Biology and Biotechnology/Human Research,Glovebox/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERLIN/MSG,Biology and Biotechnology/Multipurpose,Refrigeration/Glovebox,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
CGBA/MERLIN,Biology and Biotechnology/Biology and Biotechnology,Biology/Refrigeration,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
FIR/MERLIN,Physical Science/Biology and Biotechnology,Fluids/Refrigeration,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0
CIR/MERLIN,Physical Science/Biology and Biotechnology,Furnace/Refrigeration,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/MERLIN,Biology and Biotechnology/Biology and Biotechnology,Biology/Refrigeration,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0
CGBA/KFT,Biology and Biotechnology/Biology and Biotechnology,Biology/Glovebox,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDR/KFT,Multipurpose/Biology and Biotechnology,General science/Glovebox,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/Holter,Biology and Biotechnology/Human Research,Biology/Crew health,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/Holter,Multipurpose/Human Research,General science/Crew health,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
FIR/FPEF,Physical Science/Physical Science,Fluids/Fluids,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/FPEF,Physical Science/Physical Science,Furnace/Fluids,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/MWA,Physical Science/Multipurpose,Furnace/Maintenance,0,2,10,5,2,12,12,4,2,0,0,0,0,0,0,0
CBEF/Holter,Biology and Biotechnology/Human Research,Biology/Crew health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
