,itemsets,Distance
2420,"frozenset({'CEVIS', 'MSL'})",0
2559,"frozenset({'FPEF', 'SCOF'})",0
2603,"frozenset({'IPU', 'Ryutai'})",0
1930,"frozenset({'ETC', 'EPM'})",0
2833,"frozenset({'EDR', 'EML'})",0
2885,"frozenset({'Glovebox Freezer', 'MSG'})",0
3043,"frozenset({'NanoRacks CubeSat Deployer', 'NanoRacks-extCygnus-NRCSD'})",0
2459,"frozenset({'FSL', 'EPM'})",0
2955,"frozenset({'MSG', 'Bone Densitometer'})",0
2616,"frozenset({'MELFI', 'ABRS'})",0
2948,"frozenset({'JAXA Mouse Habitat Unit', 'CBEF-L'})",0
2018,"frozenset({'CIR', 'FIR'})",0
1660,"frozenset({'Holter', 'RC'})",0
2023,"frozenset({'MSG', 'FIR'})",0
2759,"frozenset({'MSG', 'LSG'})",0
1567,"frozenset({'GHF', 'CB'})",0
2870,"frozenset({'TangoLab-1', 'TangoLab-2'})",0
1740,"frozenset({'Ultrasound', 'HRF-1'})",0
1942,"frozenset({'SCOF', 'PCRF'})",0
1943,"frozenset({'FPEF', 'PCRF'})",0
1944,"frozenset({'IPU', 'PCRF'})",0
2374,"frozenset({'MSPR', 'MELFI'})",0
2597,"frozenset({'MVIS', 'FSL'})",0
2930,"frozenset({'CBEF-L', 'Saibo'})",0
556,"frozenset({'CEVIS', 'WORF'})",0
2875,"frozenset({'CellCult', 'ADSEP'})",0
1838,"frozenset({'Ultrasound 2', 'HRF-1'})",0
2581,"frozenset({'HRF-2', 'Holter'})",0
3033,"frozenset({'ISERV', 'WORF'})",0
1972,"frozenset({'CBEF', 'IPU'})",0
1680,"frozenset({'CEVIS', 'CGBA'})",0
1568,"frozenset({'GHF', 'MELFI'})",0
1727,"frozenset({'CIR', 'MSG'})",0
1940,"frozenset({'CBEF', 'PCRF'})",0
1595,"frozenset({'MARES', 'EPM'})",0
169,"frozenset({'RC', 'PFS'})",0
1919,"frozenset({'LMM', 'CIR'})",0
2824,"frozenset({'MSRR-1', 'KERMIT'})",0
2335,"frozenset({'EDR', 'EPM'})",0
2379,"frozenset({'HRF-1', 'SLAMMD'})",0
2013,"frozenset({'JEM-EF', 'NanoRacks External Platform'})",0
2381,"frozenset({'Holter', 'SLAMMD'})",0
2457,"frozenset({'EDR', 'FSL'})",0
1941,"frozenset({'Ryutai', 'PCRF'})",0
2605,"frozenset({'FPEF', 'Ryutai'})",0
1815,"frozenset({'CBEF', 'Saibo'})",0
1622,"frozenset({'CB', 'CBEF'})",0
1559,"frozenset({'SAMS-II', 'KERMIT'})",0
1664,"frozenset({'Holter', 'CEVIS'})",0
2382,"frozenset({'CGBA', 'SLAMMD'})",0
1920,"frozenset({'LMM', 'FIR'})",0
2994,"frozenset({'CBEF', 'IPU2'})",0
2789,"frozenset({'BioLab', 'EMCS'})",0
2825,"frozenset({'SABL', 'KERMIT'})",0
1556,"frozenset({'MSG', 'SAMS-II'})",0
165,"frozenset({'CEVIS', 'PFS'})",0
1818,"frozenset({'IPU', 'Saibo'})",0
1835,"frozenset({'Ultrasound', 'Ultrasound 2'})",0
1621,"frozenset({'CBEF', 'MELFI'})",0
1816,"frozenset({'CB', 'Saibo'})",0
2584,"frozenset({'HRF-2', 'HRF-1'})",0
1491,"frozenset({'Actiwatch', 'Actiwatch Spectrum'})",0
1682,"frozenset({'CIR', 'CGBA'})",0
167,"frozenset({'Holter', 'PFS'})",0
2931,"frozenset({'CBEF-L', 'CBEF'})",0
2946,"frozenset({'CIR', 'SoFIE'})",0
166,"frozenset({'PFS', 'CGBA'})",0
1331,"frozenset({'TVIS', 'COLBERT'})",0
2854,"frozenset({'MSPR', 'ELF'})",0
1577,"frozenset({'CEVIS', 'Ultrasound'})",0
1330,"frozenset({'COLBERT', 'ARED'})",0
1648,"frozenset({'FPEF', 'IPU'})",0
1615,"frozenset({'CB', 'MELFI'})",0
2846,"frozenset({'Confocal Microscope', 'CBEF'})",0
