,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
2808,"frozenset({'Holter', 'RC', 'PFS'})",frozenset({'MELFI'}),0.0006783749152031356,0.10688173663978293,0.0006783749152031356,1.0,9.356135401974612,0.000605869026173359,inf,0.8937245436717454
2951,"frozenset({'Ultrasound', 'PFS', 'CEVIS'})","frozenset({'Portable Pulmonary Function System', 'Ultrasound 2'})",0.00015074998115625234,0.00015074998115625234,0.00015074998115625234,1.0,6633.500000000001,0.00015072725559943373,inf,1.0
2459,"frozenset({'Portable Pulmonary Function System', 'Ultrasound', 'CEVIS'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
2109,"frozenset({'MWA', 'Veggie', 'GLACIER'})",frozenset({'ABRS'}),0.00015074998115625234,0.003768749528906309,0.00015074998115625234,1.0,265.34,0.00015018184223578707,inf,0.9963814549566528
2110,"frozenset({'MWA', 'ABRS', 'GLACIER'})",frozenset({'Veggie'}),0.00015074998115625234,0.01695937288007839,0.00015074998115625234,1.0,58.964444444444446,0.00014819335601415866,inf,0.9831888428194496
2416,"frozenset({'CGBA', 'Portable Pulmonary Function System', 'PFS'})",frozenset({'CEVIS'}),0.00015074998115625234,0.11215798598025176,0.00015074998115625234,1.0,8.915994623655914,0.00013384216688320618,inf,0.8879758763663778
2952,"frozenset({'Ultrasound 2', 'PFS', 'Ultrasound'})","frozenset({'Portable Pulmonary Function System', 'CEVIS'})",0.00015074998115625234,0.008140498982437627,0.00015074998115625234,1.0,122.8425925925926,0.00014952280108804737,inf,0.9920090463626083
2111,"frozenset({'ABRS', 'Veggie', 'GLACIER'})",frozenset({'MWA'}),0.00015074998115625234,0.016808622898922137,0.00015074998115625234,1.0,59.493273542600896,0.00014821608157097727,inf,0.9833396155295892
873,"frozenset({'ARED', 'Holter Monitor 2'})",frozenset({'Actiwatch'}),0.00015074998115625234,0.048164618979422626,0.00015074998115625234,1.0,20.76212832550861,0.0001434891657527063,inf,0.9519788918205805
2031,"frozenset({'Portable Pulmonary Function System', 'MELFI'})",frozenset({'PFS'}),0.00022612497173437853,0.01635637295545338,0.00022612497173437853,1.0,61.13824884792627,0.00022242638736214967,inf,0.983866103739445
2923,"frozenset({'Actiwatch Spectrum', 'HRF-1'})","frozenset({'Holter Monitor 2', 'Ultrasound 2', 'Ultrasound'})",0.00015074998115625234,0.0018843747644531545,0.00015074998115625234,1.0,530.68,0.00015046591169601972,inf,0.9982661138333963
2026,"frozenset({'SLAMMD', 'MELFI'})",frozenset({'PCBA'}),0.004673249415843823,0.007989749001281375,0.004673249415843823,1.0,125.16037735849056,0.004635911325990846,inf,0.9966679288148428
2853,"frozenset({'SLAMMD', 'RC', 'MELFI'})",frozenset({'PCBA'}),0.00022612497173437853,0.007989749001281375,0.00022612497173437853,1.0,125.16037735849056,0.000224318289967299,inf,0.9922346200241253
2265,"frozenset({'HRF-1', 'Holter Monitor 2', 'Ultrasound'})",frozenset({'Actiwatch Spectrum'}),0.00015074998115625234,0.007462124067234492,0.00015074998115625234,1.0,134.010101010101,0.00014962506609373112,inf,0.992687523558236
2559,"frozenset({'ELC', 'EXPRESS Rack', 'GLACIER'})",frozenset({'MERLIN'}),0.00045224994346875706,0.010929373633828296,0.00045224994346875706,1.0,91.49655172413793,0.0004473071348607093,inf,0.989518135887188
2865,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2', 'Ultrasound'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
1952,"frozenset({'KFT', 'MSPR'})",frozenset({'MELFI'}),0.00015074998115625234,0.10688173663978293,0.00015074998115625234,1.0,9.356135401974612,0.00013463756137185753,inf,0.8932529212212589
