Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ryutai/SCOF,Multipurpose/Biology and Biotechnology,General science/Microscope,0.000806452,0,0,0,0,0.00209205,0.008064516,0,0,0,0.001805054,0,0.006069803,0.00308642,0.001540832,0.003278689
IPU/Ryutai,Multipurpose/Multipurpose,Image processing/General science,0.000806452,0,0.001702128,0.004338395,0,0,0.004032258,0,0,0,0.001805054,0,0.003034901,0.00308642,0.001540832,0.003278689
Double Coldbag/EXPRESS Rack,Multipurpose/Multipurpose,Refrigeration/General science,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/CGBA,Biology and Biotechnology/Biology and Biotechnology,Plant/Biology,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/Portable Pulmonary Function System,Multipurpose/Human Research,Refrigeration/Crew health,0.000806452,0.000856164,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/RC,Multipurpose/Human Research,Glovebox/Centrifuge,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/EXPRESS Rack,Human Research/Multipurpose,Crew health/General science,0.000806452,0.000856164,0.003404255,0.004338395,0,0,0,0,0,0,0,0,0.001517451,0,0,0
ALTEA/SPHERES,Human Research/Technology Development and Demonstration,Crew health/Robotics,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar/WORF,Earth and Space Science/Earth and Space Science,Astronomy/Earth observation,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/MSG,Multipurpose/Multipurpose,Refrigeration/Glovebox,0.000806452,0.005136986,0.000851064,0,0,0,0,0,0.011272142,0.003252033,0,0,0,0.00154321,0,0
CIR/FIR,Physical Science/Physical Science,Furnace/Fluids,0.000806452,0.003424658,0.002553191,0,0,0,0,0,0.001610306,0,0,0,0,0,0,0
FIR/MSG,Physical Science/Multipurpose,Fluids/Glovebox,0.000806452,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/FIR,Multipurpose/Physical Science,General science/Fluids,0.000806452,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holter/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,0.000806452,0.000856164,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
PFS/Ultrasound,Human Research/Human Research,Crew health/Crew health,0.000806452,0,0,0,0,0,0.002016129,0.003521127,0,0,0,0,0,0,0,0
MELFI/MWA,Multipurpose/Multipurpose,Refrigeration/Maintenance,0.000806452,0.003424658,0.000851064,0.000723066,0,0.00209205,0.004032258,0,0.003220612,0.001626016,0,0,0,0,0,0
JEM-EF/RC,Earth and Space Science/Human Research,External payloads/Centrifuge,0.000806452,0,0,0,0,0,0,0,0,0,0.001805054,0,0,0,0,0
CB/Solar,Multipurpose/Earth and Space Science,Glovebox/Astronomy,0.000806452,0,0,0,0,0,0,0,0,0,0.001805054,0,0,0,0,0
RC/Ultrasound,Human Research/Human Research,Centrifuge/Crew health,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holter/IPU,Human Research/Multipurpose,Crew health/Image processing,0.000806452,0,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/MELFI,Physical Science/Multipurpose,Furnace/Refrigeration,0.000806452,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/EXPRESS Rack,Multipurpose/Multipurpose,Glovebox/General science,0.000806452,0.000856164,0,0.000723066,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0.000806452,0.002568493,0.002553191,0,0,0.006276151,0,0,0,0,0,0,0,0,0,0
ELC/MELFI,Earth and Space Science/Multipurpose,External payloads/Refrigeration,0.000806452,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELC/MDS,Earth and Space Science/Biology and Biotechnology,External payloads/Biology,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/MDS,Multipurpose/Biology and Biotechnology,Glovebox/Biology,0.000806452,0,0,0.001446132,0,0,0,0,0,0,0,0,0,0,0,0
IPU/MWA,Multipurpose/Multipurpose,Image processing/Maintenance,0.000806452,0.002568493,0.002553191,0.000723066,0,0,0,0,0,0,0,0,0,0,0,0
EPM/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,0.000806452,0,0.000851064,0,0,0,0,0,0,0,0,0,0.001517451,0.00154321,0.001540832,0
MELFI/MSRR-1,Multipurpose/Physical Science,Refrigeration/Materials,0.000806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
